hold_id,user_id,book_id,library_id,n_access,hold_date
1,875,166,4,2,2020-12-22
2,984,409,1,2,2021-01-22
3,931,362,2,1,2021-02-16
4,870,372,6,2,2021-03-02
5,812,480,6,2,2021-06-08
6,928,371,5,1,2021-07-10
7,872,115,1,2,2021-07-13
8,832,593,5,1,2021-07-26
9,781,183,3,1,2021-08-09
10,859,542,2,2,2021-08-11
11,990,435,3,1,2021-08-14
12,862,159,3,2,2021-08-16
13,757,553,1,1,2021-08-24
14,707,49,1,2,2021-09-04
15,759,538,4,1,2021-09-07
16,804,16,4,2,2021-09-27
17,717,210,6,1,2021-10-01
18,716,481,1,2,2021-10-08
19,896,594,6,2,2021-10-15
20,973,264,6,2,2021-10-23
21,745,197,5,2,2021-11-10
22,934,236,2,1,2021-11-30
23,845,6,6,1,2021-12-27
24,726,571,1,1,2022-01-02
25,863,395,5,1,2022-01-06
26,755,258,6,1,2022-01-21
27,753,110,2,2,2022-01-24
28,888,38,2,1,2022-02-22
29,706,441,3,1,2022-02-28
30,758,11,5,1,2022-03-01
31,710,26,2,1,2022-03-10
32,953,354,6,1,2022-03-10
33,770,118,4,2,2022-03-20
34,830,250,4,1,2022-03-21
35,968,24,6,1,2022-03-21
36,989,339,3,2,2022-03-27
37,962,574,4,1,2022-03-28
38,815,189,3,2,2022-03-29
39,748,443,5,1,2022-03-31
40,779,399,3,2,2022-04-03
41,1000,142,4,1,2022-04-23
42,817,589,1,1,2022-04-25
43,947,191,5,2,2022-04-27
44,761,226,4,1,2022-05-09
45,971,117,3,1,2022-05-22
46,945,43,1,2,2022-05-25
47,723,357,3,2,2022-05-31
48,876,552,6,2,2022-06-10
49,743,300,6,2,2022-06-12
50,858,297,3,2,2022-06-13
51,790,150,6,1,2022-06-21
52,831,78,6,2,2022-06-26
53,727,466,4,2,2022-06-29
54,994,596,2,2,2022-06-30
55,801,275,5,2,2022-07-06
56,838,291,3,1,2022-07-07
57,853,102,6,1,2022-07-13
58,982,17,5,2,2022-07-14
59,996,452,2,2,2022-07-15
60,997,439,1,2,2022-07-15
61,975,433,1,1,2022-07-28
62,793,532,4,1,2022-07-29
63,964,235,1,2,2022-07-31
64,978,223,1,1,2022-08-09
65,892,156,6,2,2022-08-09
66,768,219,3,2,2022-08-09
67,802,507,3,2,2022-08-19
68,926,246,6,1,2022-08-20
69,784,541,1,1,2022-08-23
70,800,375,3,2,2022-08-27
71,966,269,5,2,2022-08-29
72,992,18,6,2,2022-08-29
