loan_id,user_id,book_id,library_id,n_access,loan_date,due_date,return_date,returned_by
1,655,230,2,1,2020-12-01,2020-12-15,2020-12-09,user
2,115,125,5,2,2020-12-01,2020-12-15,2020-12-09,user
3,26,206,2,1,2020-12-01,2020-12-15,2020-12-13,user
4,282,143,5,1,2020-12-02,2020-12-16,2020-12-16,user
5,251,243,3,2,2020-12-02,2020-12-16,2020-12-16,system
6,229,506,2,1,2020-12-02,2020-12-16,2020-12-16,system
7,143,27,3,1,2020-12-02,2020-12-16,2020-12-11,user
8,105,370,4,2,2020-12-03,2020-12-17,2020-12-13,user
9,693,568,4,1,2020-12-03,2020-12-17,2020-12-13,user
10,559,587,5,1,2020-12-04,2020-12-18,2020-12-15,user
11,90,378,6,2,2020-12-04,2020-12-18,2020-12-16,user
12,605,479,5,1,2020-12-04,2020-12-18,2020-12-12,user
13,433,565,1,2,2020-12-05,2020-12-19,2020-12-18,user
14,33,133,1,2,2020-12-06,2020-12-20,2020-12-17,user
15,31,89,5,2,2020-12-07,2020-12-21,2020-12-21,system
16,96,68,2,1,2020-12-07,2020-12-21,2020-12-18,user
17,224,317,5,1,2020-12-07,2020-12-21,2020-12-17,user
18,239,408,6,2,2020-12-08,2020-12-22,2020-12-16,user
19,518,491,5,1,2020-12-08,2020-12-22,2020-12-22,system
20,617,539,5,2,2020-12-08,2020-12-22,2020-12-19,user
21,28,421,1,2,2020-12-09,2020-12-23,2020-12-23,system
22,575,420,6,1,2020-12-09,2020-12-23,2020-12-19,user
23,204,589,1,1,2020-12-09,2020-12-23,2020-12-21,user
24,666,76,4,1,2020-12-10,2020-12-24,2020-12-19,user
25,559,129,3,1,2020-12-11,2020-12-25,2020-12-25,system
26,430,325,1,1,2020-12-12,2020-12-26,2020-12-20,user
27,226,76,4,2,2020-12-12,2020-12-26,2020-12-24,user
28,460,461,5,1,2020-12-13,2020-12-27,2020-12-23,user
29,604,478,4,1,2020-12-14,2020-12-28,2020-12-23,user
30,285,530,2,1,2020-12-15,2020-12-29,2020-12-26,user
31,7,353,5,1,2020-12-15,2020-12-29,2020-12-27,user
32,164,132,6,2,2020-12-16,2020-12-30,2020-12-27,user
33,433,565,1,1,2020-12-17,2020-12-31,2020-12-28,user
34,349,187,1,2,2020-12-18,2021-01-01,2020-12-27,user
35,285,133,1,2,2020-12-18,2021-01-01,2020-12-27,user
36,160,444,6,2,2020-12-19,2021-01-02,2021-01-01,user
37,221,515,5,2,2020-12-19,2021-01-02,2021-01-01,user
38,345,57,3,1,2020-12-20,2021-01-03,2021-01-02,user
39,105,128,2,1,2020-12-20,2021-01-03,2020-12-31,user
40,95,531,3,1,2020-12-20,2021-01-03,2021-01-03,system
41,390,157,1,1,2020-12-20,2021-01-03,2020-12-31,user
42,100,312,6,2,2020-12-21,2021-01-04,2020-12-30,user
43,368,169,1,2,2020-12-21,2021-01-04,2020-12-31,user
44,353,166,4,2,2020-12-22,2021-01-05,2020-12-30,user
45,619,331,1,2,2020-12-22,2021-01-05,2021-01-02,user
46,271,231,3,1,2020-12-23,2021-01-06,2021-01-05,user
47,45,355,1,1,2020-12-24,2021-01-07,2021-01-02,user
48,471,532,4,1,2020-12-25,2021-01-08,2021-01-06,user
49,550,291,3,1,2020-12-25,2021-01-08,2021-01-08,system
50,128,81,3,1,2020-12-25,2021-01-08,2021-01-08,user
51,388,257,5,1,2020-12-25,2021-01-08,2021-01-06,user
52,81,202,4,2,2020-12-26,2021-01-09,2021-01-09,system
53,566,565,1,2,2020-12-27,2021-01-10,2021-01-09,user
54,301,282,6,2,2020-12-28,2021-01-11,2021-01-10,user
55,644,129,3,2,2020-12-29,2021-01-12,2021-01-08,user
56,634,311,5,1,2020-12-29,2021-01-12,2021-01-08,user
57,371,547,1,2,2020-12-29,2021-01-12,2021-01-11,user
58,592,96,6,2,2020-12-29,2021-01-12,2021-01-11,user
59,197,515,5,1,2020-12-29,2021-01-12,2021-01-10,user
60,72,173,5,1,2020-12-30,2021-01-13,2021-01-13,user
61,47,595,1,2,2020-12-31,2021-01-14,2021-01-10,user
62,678,158,2,2,2021-01-01,2021-01-15,2021-01-12,user
63,234,176,2,2,2021-01-01,2021-01-15,2021-01-10,user
64,297,346,4,2,2021-01-01,2021-01-15,2021-01-15,system
65,82,578,2,2,2021-01-01,2021-01-15,2021-01-09,user
66,239,43,1,2,2021-01-02,2021-01-16,2021-01-11,user
67,104,30,6,2,2021-01-02,2021-01-16,2021-01-11,user
68,390,84,6,1,2021-01-03,2021-01-17,2021-01-13,user
69,285,47,5,1,2021-01-04,2021-01-18,2021-01-12,user
70,465,591,3,1,2021-01-04,2021-01-18,2021-01-17,user
71,651,272,2,1,2021-01-05,2021-01-19,2021-01-16,user
72,374,216,6,1,2021-01-06,2021-01-20,2021-01-18,user
73,167,586,4,1,2021-01-07,2021-01-21,2021-01-18,user
74,380,427,1,2,2021-01-07,2021-01-21,2021-01-17,user
75,364,32,2,2,2021-01-07,2021-01-21,2021-01-20,user
76,215,510,6,2,2021-01-07,2021-01-21,2021-01-19,user
77,687,559,1,1,2021-01-08,2021-01-22,2021-01-19,user
78,274,297,3,2,2021-01-08,2021-01-22,2021-01-17,user
79,700,310,4,2,2021-01-08,2021-01-22,2021-01-18,user
80,664,495,3,1,2021-01-09,2021-01-23,2021-01-17,user
81,74,251,5,1,2021-01-10,2021-01-24,2021-01-19,user
82,624,416,2,2,2021-01-11,2021-01-25,2021-01-19,user
83,651,305,5,2,2021-01-12,2021-01-26,2021-01-24,user
84,176,465,3,1,2021-01-12,2021-01-26,2021-01-20,user
85,547,75,3,2,2021-01-12,2021-01-26,2021-01-21,user
86,251,62,2,2,2021-01-12,2021-01-26,2021-01-20,user
87,168,162,6,1,2021-01-13,2021-01-27,2021-01-23,user
88,474,451,1,1,2021-01-14,2021-01-28,2021-01-24,user
89,389,426,6,2,2021-01-15,2021-01-29,2021-01-24,user
90,277,496,4,2,2021-01-16,2021-01-30,2021-01-29,user
91,656,476,2,1,2021-01-17,2021-01-31,2021-01-28,user
92,705,209,5,1,2021-01-17,2021-01-31,2021-01-30,user
93,571,349,1,2,2021-01-18,2021-02-01,2021-01-26,user
94,225,148,4,1,2021-01-19,2021-02-02,2021-01-28,user
95,702,321,3,2,2021-01-19,2021-02-02,2021-01-27,user
96,333,327,3,1,2021-01-20,2021-02-03,2021-01-29,user
97,58,354,6,2,2021-01-20,2021-02-03,2021-01-28,user
98,235,409,1,2,2021-01-21,2021-02-04,2021-02-01,user
99,33,134,2,2,2021-01-21,2021-02-04,2021-01-30,user
100,324,380,2,1,2021-01-21,2021-02-04,2021-01-31,user
101,411,528,6,1,2021-01-22,2021-02-05,2021-02-02,user
102,275,576,6,1,2021-01-22,2021-02-05,2021-02-01,user
103,68,109,1,1,2021-01-23,2021-02-06,2021-02-06,user
104,217,327,3,2,2021-01-24,2021-02-07,2021-02-07,system
105,581,248,2,2,2021-01-25,2021-02-08,2021-02-05,user
106,875,166,4,2,2021-01-25,2021-02-08,2021-02-03,user
107,323,478,4,1,2021-01-26,2021-02-09,2021-02-05,user
108,218,126,6,1,2021-01-27,2021-02-10,2021-02-07,user
109,672,274,4,2,2021-01-28,2021-02-11,2021-02-10,user
110,512,461,5,2,2021-01-29,2021-02-12,2021-02-12,system
111,406,254,2,1,2021-01-29,2021-02-12,2021-02-06,user
112,659,145,1,2,2021-01-30,2021-02-13,2021-02-09,user
113,470,100,4,2,2021-01-31,2021-02-14,2021-02-08,user
114,147,52,4,1,2021-01-31,2021-02-14,2021-02-14,system
115,272,298,4,1,2021-02-01,2021-02-15,2021-02-15,user
116,143,394,4,2,2021-02-02,2021-02-16,2021-02-11,user
117,253,429,3,2,2021-02-02,2021-02-16,2021-02-10,user
118,575,255,3,1,2021-02-03,2021-02-17,2021-02-13,user
119,552,164,2,1,2021-02-04,2021-02-18,2021-02-18,user
120,270,336,6,2,2021-02-05,2021-02-19,2021-02-16,user
121,984,409,1,2,2021-02-05,2021-02-19,2021-02-19,system
122,599,592,4,2,2021-02-06,2021-02-20,2021-02-14,user
123,439,321,3,2,2021-02-06,2021-02-20,2021-02-18,user
124,598,195,3,1,2021-02-07,2021-02-21,2021-02-18,user
125,409,164,2,2,2021-02-08,2021-02-22,2021-02-17,user
126,371,511,1,2,2021-02-09,2021-02-23,2021-02-18,user
127,225,528,6,2,2021-02-10,2021-02-24,2021-02-24,system
128,142,479,5,1,2021-02-11,2021-02-25,2021-02-21,user
129,522,511,1,2,2021-02-11,2021-02-25,2021-02-25,system
130,506,316,4,1,2021-02-11,2021-02-25,2021-02-22,user
131,94,510,6,1,2021-02-11,2021-02-25,2021-02-25,user
132,49,24,6,2,2021-02-11,2021-02-25,2021-02-19,user
133,113,93,3,2,2021-02-12,2021-02-26,2021-02-20,user
134,157,403,1,1,2021-02-12,2021-02-26,2021-02-26,user
135,643,518,2,1,2021-02-13,2021-02-27,2021-02-26,user
136,164,469,1,1,2021-02-14,2021-02-28,2021-02-23,user
137,697,247,1,2,2021-02-14,2021-02-28,2021-02-25,user
138,433,221,5,1,2021-02-15,2021-03-01,2021-03-01,system
139,611,598,4,2,2021-02-16,2021-03-02,2021-02-27,user
140,66,362,2,2,2021-02-16,2021-03-02,2021-02-25,user
141,395,50,2,2,2021-02-17,2021-03-03,2021-03-02,user
142,391,52,4,1,2021-02-17,2021-03-03,2021-02-25,user
143,611,289,1,1,2021-02-18,2021-03-04,2021-02-27,user
144,480,507,3,2,2021-02-18,2021-03-04,2021-03-01,user
145,542,482,2,2,2021-02-19,2021-03-05,2021-03-04,user
146,258,293,5,2,2021-02-20,2021-03-06,2021-03-06,user
147,567,550,4,2,2021-02-20,2021-03-06,2021-02-28,user
148,12,9,3,2,2021-02-21,2021-03-07,2021-03-05,user
149,697,111,3,1,2021-02-22,2021-03-08,2021-03-07,user
150,118,442,4,1,2021-02-23,2021-03-09,2021-03-04,user
151,699,138,6,1,2021-02-24,2021-03-10,2021-03-07,user
152,550,271,1,1,2021-02-24,2021-03-10,2021-03-07,user
153,274,375,3,2,2021-02-25,2021-03-11,2021-03-10,user
154,657,413,5,2,2021-02-25,2021-03-11,2021-03-07,user
155,349,375,3,2,2021-02-25,2021-03-11,2021-03-07,user
156,115,47,5,2,2021-02-25,2021-03-11,2021-03-06,user
157,301,411,3,1,2021-02-26,2021-03-12,2021-03-11,user
158,446,53,5,1,2021-02-26,2021-03-12,2021-03-11,user
159,162,584,2,1,2021-02-26,2021-03-12,2021-03-06,user
160,465,576,6,2,2021-02-27,2021-03-13,2021-03-12,user
161,4,200,2,1,2021-02-28,2021-03-14,2021-03-12,user
162,270,372,6,2,2021-03-01,2021-03-15,2021-03-13,user
